year,district_id,district_name,population_thousands,total_cases,api,aber,spr,pf_percent,deaths,source_url,source_sha256,metric_scope
2011,OD-DIST-kandhamal,Kandhamal,766.0,25954,33.88,29.97,11.31,96.42,4,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-kendrapara,Kendrapara,1474.0,223,0.15,8.51,0.18,6.28,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-keonjhar,Keonjhar,1814.0,19333,10.66,16.03,6.65,95.04,2,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-khordha,Khordha,2224.0,2546,1.14,5.82,1.97,48.59,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-koraput,Koraput,1164.0,43267,37.17,14.73,25.24,94.85,9,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-malkangiri,Malkangiri,611.0,20700,33.88,22.11,15.32,93.63,9,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-mayurbhanj,Mayurbhanj,2618.0,12530,4.79,11.96,4.0,95.87,3,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-nabarangpur,Nabarangpur,1206.0,16914,14.02,14.17,9.9,95.19,3,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-nayagarh,Nayagarh,975.0,1809,1.86,7.69,2.41,90.22,0,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
2011,OD-DIST-nuapada,Nuapada,648.0,9991,15.42,11.82,13.05,58.66,4,https://ncvbdc.mohfw.gov.in/Doc/Malaria-Annual-Report-2011.pdf,686819c96294c9539e2eee246a585db560192aea776730a505a3a20946940cf3,official_annual_malaria_report
